Date,USD_NGN,GBP_NGN,EUR_NGN,Day,Month,Year,Weekday,Is_Weekend,USD_Diff,EUR_Diff,GBP_Diff,USD_MA7,EUR_MA7,GBP_MA7,USD_Rate_Category
2017-02-21 00:00:00,315.4648,332.563,393.9209,21,February,2017,Tuesday,FALSE,0.468100000000049,-1.61860000000001,1.05700000000002,315.470857142857,334.790014285714,392.8692,Low
2017-02-22 00:00:00,313.5149,330.7804,390.4201,22,February,2017,Wednesday,FALSE,-1.94990000000001,-1.7826,-3.50080000000003,315.476114285714,334.5457,392.804085714286,Low
2017-02-23 00:00:00,316.1706,334.6419,396.9522,23,February,2017,Thursday,FALSE,2.65569999999997,3.86150000000003,6.53210000000001,315.365057142857,334.032142857143,392.968014285714,Low
2017-02-24 00:00:00,317.2041,335.0641,395.1411,24,February,2017,Friday,FALSE,1.0335,0.422199999999975,-1.81110000000001,315.601,334.043771428571,393.460271428571,Low
2017-02-25 00:00:00,317.1144,334.9694,395.0294,25,February,2017,Saturday,TRUE,-0.0896999999999935,-0.0946999999999889,-0.111699999999985,315.8295,334.047571428571,393.943242857143,Low
2017-02-26 00:00:00,317.082,334.5972,393.1183,26,February,2017,Sunday,TRUE,-0.0323999999999955,-0.372200000000021,-1.91110000000003,315.935357142857,333.828228571429,393.920842857143,Low
2017-02-27 00:00:00,316.8915,335.418,394.1497,27,February,2017,Monday,FALSE,-0.190499999999986,0.82080000000002,1.03140000000002,316.206042857143,334.004857142857,394.104528571428,Low
2017-02-28 00:00:00,316.5184,334.5172,391.7865,28,February,2017,Tuesday,FALSE,-0.373100000000022,-0.900800000000004,-2.36320000000001,316.356557142857,334.284028571429,393.799614285714,Low
2017-03-01 00:00:00,314.547,331.3978,386.0121,1,March,2017,Wednesday,FALSE,-1.97139999999996,-3.11939999999998,-5.77440000000001,316.504,334.372228571428,393.1699,Low
2017-03-02 00:00:00,315.4784,331.4657,387.2182,2,March,2017,Thursday,FALSE,0.931399999999996,0.0679000000000087,1.20610000000005,316.405114285714,333.918485714286,391.779328571428,Low
2017-03-03 00:00:00,318.5524,338.3673,391.6602,3,March,2017,Friday,FALSE,3.07399999999995,6.90159999999997,4.44199999999995,316.597728571428,334.390371428571,391.282057142857,Low
2017-03-04 00:00:00,312.4491,331.8844,384.1562,4,March,2017,Saturday,TRUE,-6.10329999999999,-6.48289999999997,-7.50399999999996,315.931257142857,333.949657142857,389.728742857143,Low
2017-03-05 00:00:00,318.4003,338.1405,391.6005,5,March,2017,Sunday,TRUE,5.95120000000003,6.25609999999995,7.4443,316.119585714286,334.455842857143,389.511914285714,Low
2017-03-06 00:00:00,310.7929,328.762,380.4105,6,March,2017,Monday,FALSE,-7.60740000000004,-9.37849999999997,-11.19,315.248357142857,333.504985714286,387.549171428571,Low
2017-03-07 00:00:00,315.3565,333.3285,384.8611,7,March,2017,Tuesday,FALSE,4.56360000000001,4.56650000000002,4.45060000000001,315.082371428571,333.335171428571,386.559828571429,Low
2017-03-08 00:00:00,314.6161,331.7571,383.0136,8,March,2017,Wednesday,FALSE,-0.740399999999966,-1.57140000000004,-1.84750000000003,315.092242857143,333.3865,386.131471428571,Low
2017-03-09 00:00:00,314.0039,332.1758,381.7032,9,March,2017,Thursday,FALSE,-0.61220000000003,0.418700000000001,-1.31040000000002,314.8816,333.487942857143,385.343614285714,Low
2017-03-10 00:00:00,312.4351,333.487,380.1085,10,March,2017,Friday,FALSE,-1.56880000000001,1.31120000000004,-1.59469999999999,314.0077,332.790757142857,383.693371428571,Low
2017-03-11 00:00:00,312.4506,333.5036,380.1274,11,March,2017,Saturday,TRUE,0.0155000000000314,0.0165999999999826,0.0189000000000306,314.007914285714,333.022071428572,383.117828571429,Low
2017-03-12 00:00:00,314.8068,336.511,383.1514,12,March,2017,Sunday,TRUE,2.3562,3.00740000000002,3.024,313.494557142857,332.789285714286,381.910814285714,Low
2017-03-13 00:00:00,315.3604,335.8909,384.8974,13,March,2017,Monday,FALSE,0.553600000000017,-0.620100000000036,1.74599999999998,314.147057142857,333.8077,382.5518,Low
2017-03-14 00:00:00,314.9392,334.2105,382.8716,14,March,2017,Tuesday,FALSE,-0.421199999999999,-1.68039999999996,-2.0258,314.087442857143,333.9337,382.267585714286,Low
2017-03-15 00:00:00,317.4417,340.8634,389.9136,15,March,2017,Wednesday,FALSE,2.5025,6.65289999999999,7.04199999999997,314.4911,335.2346,383.2533,Low
2017-03-16 00:00:00,313.4629,337.6596,387.1267,16,March,2017,Thursday,FALSE,-3.97880000000003,-3.2038,-2.78689999999995,314.413814285714,336.018,384.028085714286,Low
2017-03-17 00:00:00,317.0129,340.4079,393.0009,17,March,2017,Friday,FALSE,3.55000000000001,2.74829999999997,5.87419999999997,315.067785714286,337.0067,385.869857142857,Low
2017-03-18 00:00:00,316.8436,340.2261,392.791,18,March,2017,Saturday,TRUE,-0.169300000000021,-0.18180000000001,-0.209900000000005,315.695357142857,337.967057142857,387.678942857143,Low
2017-03-19 00:00:00,305.9465,328.6642,378.8841,19,March,2017,Sunday,TRUE,-10.8971,-11.5619,-13.9069,314.4296,336.846085714286,387.069328571429,Low
2017-03-20 00:00:00,306.7204,329.2737,379.2904,20,March,2017,Monday,FALSE,0.773899999999969,0.609500000000025,0.406299999999987,313.195314285714,335.900771428571,386.268328571429,Low
2017-03-21 00:00:00,307.7169,332.6936,384.0615,21,March,2017,Tuesday,FALSE,0.996500000000026,3.41989999999998,4.77110000000005,312.163557142857,335.684071428571,386.438314285714,Low
2017-03-22 00:00:00,306.7899,331.0465,382.6897,22,March,2017,Wednesday,FALSE,-0.927000000000021,-1.64710000000002,-1.37180000000001,310.641871428571,334.281657142857,385.406328571429,Low
2017-03-23 00:00:00,314.9203,339.6104,394.1858,23,March,2017,Thursday,FALSE,8.13040000000001,8.56390000000005,11.4961,310.850071428571,334.560342857143,386.414771428571,Low
2017-03-24 00:00:00,314.9424,340.1716,392.7962,24,March,2017,Friday,FALSE,0.0221000000000231,0.561199999999985,-1.38959999999997,310.554285714286,334.526585714286,386.385528571429,Low
2017-03-25 00:00:00,314.9927,340.2259,392.8589,25,March,2017,Saturday,TRUE,0.0502999999999929,0.054300000000012,0.0627000000000066,310.289871428571,334.526557142857,386.395228571429,Low
2017-03-26 00:00:00,315.8128,342.5845,395.2397,26,March,2017,Sunday,TRUE,0.820099999999968,2.35859999999997,2.38080000000002,311.699342857143,336.515171428571,388.731742857143,Low
2017-03-27 00:00:00,314.9844,342.2298,395.6519,27,March,2017,Monday,FALSE,-0.828399999999988,-0.35469999999998,0.412199999999984,312.879914285714,338.366042857143,391.0691,Low
2017-03-28 00:00:00,315.0095,342.2002,395.6519,28,March,2017,Tuesday,FALSE,0.025100000000009,-0.0296000000000163,0,313.921714285714,339.724128571429,392.724871428571,Low
2017-03-29 00:00:00,316.4928,340.7035,393.717,29,March,2017,Wednesday,FALSE,1.48329999999999,-1.49669999999998,-1.93490000000003,315.307842857143,341.1037,394.3002,Low
2017-03-30 00:00:00,308.6111,329.7261,385.0541,30,March,2017,Thursday,FALSE,-7.88169999999997,-10.9774,-8.66289999999998,314.406528571429,339.691657142857,392.995671428571,Low
2017-03-31 00:00:00,315.3965,336.0444,395.7595,31,March,2017,Friday,FALSE,6.78539999999998,6.31830000000002,10.7054,314.4714,339.102057142857,393.419,Low
2017-04-01 00:00:00,315.3965,336.0444,395.7595,1,April,2017,Saturday,TRUE,0,0,0,314.529085714286,338.5047,393.833371428571,Low
2017-04-02 00:00:00,316.3486,337.5999,397.0175,2,April,2017,Sunday,TRUE,0.952099999999973,1.55549999999999,1.25799999999998,314.605628571429,337.792614285714,394.087342857143,Low
2017-04-03 00:00:00,313.9695,334.9187,392.0223,3,April,2017,Monday,FALSE,-2.37909999999999,-2.68119999999999,-4.99520000000001,314.460642857143,336.748171428571,393.568828571429,Low
2017-04-04 00:00:00,313.4169,334.6737,389.8279,4,April,2017,Tuesday,FALSE,-0.552599999999984,-0.245000000000004,-2.19439999999997,314.233128571429,335.672957142857,392.736828571429,Low
2017-04-05 00:00:00,314.8747,335.9686,393.184,5,April,2017,Wednesday,FALSE,1.45780000000002,1.29489999999998,3.35610000000003,314.001971428571,334.996542857143,392.660685714286,Low
2017-04-06 00:00:00,315.4629,335.745,393.2245,6,April,2017,Thursday,FALSE,0.588199999999972,-0.223599999999976,0.0404999999999518,314.9808,335.856385714286,393.827885714286,Low
2017-04-07 00:00:00,317.3979,336.0508,392.8434,7,April,2017,Friday,FALSE,1.935,0.305799999999976,-0.381100000000003,315.266714285714,335.8573,393.4113,Low
2017-04-08 00:00:00,317.4058,336.0592,392.8532,8,April,2017,Saturday,TRUE,0.00790000000000646,0.00839999999999463,0.00980000000004111,315.553757142857,335.859414285714,392.996114285714,Low
2017-04-09 00:00:00,311.6355,329.757,385.6178,9,April,2017,Sunday,TRUE,-5.77030000000002,-6.30219999999997,-7.23540000000003,314.880457142857,334.739,391.367585714286,Low
2017-04-10 00:00:00,317.5486,336.5419,394.4271,10,April,2017,Monday,FALSE,5.91310000000004,6.78489999999999,8.80930000000001,315.391757142857,334.970885714286,391.711128571429,Low
2017-04-11 00:00:00,316.2148,335.3354,394.8574,11,April,2017,Tuesday,FALSE,-1.3338,-1.20650000000001,0.430299999999988,315.791457142857,335.065414285714,392.429628571429,Low
2017-04-12 00:00:00,315.835,336.8441,395.9939,12,April,2017,Wednesday,FALSE,-0.379800000000046,1.50870000000003,1.13650000000001,315.928642857143,335.190485714286,392.831042857143,Low
2017-04-13 00:00:00,315.115,334.5054,394.1143,13,April,2017,Thursday,FALSE,-0.71999999999997,-2.33870000000002,-1.87959999999998,315.878942857143,335.0134,392.958157142857,Low
2017-04-14 00:00:00,315.6741,335.0142,395.3503,14,April,2017,Friday,FALSE,0.559100000000001,0.508800000000008,1.23599999999999,315.632685714286,334.865314285714,393.316285714286,Low
2017-04-15 00:00:00,315.8015,335.1494,395.5098,15,April,2017,Saturday,TRUE,0.127399999999966,0.135199999999997,0.15949999999998,315.4035,334.735342857143,393.6958,Low
2017-04-16 00:00:00,315.9483,335.0683,395.8832,16,April,2017,Sunday,TRUE,0.146800000000042,-0.0810999999999922,0.373400000000004,316.019614285714,335.4941,395.162285714286,Low
2017-04-17 00:00:00,314.829,335.0226,395.3937,17,April,2017,Monday,FALSE,-1.11930000000001,-0.0457000000000107,-0.489499999999964,315.6311,335.277057142857,395.300371428571,Low
2017-04-18 00:00:00,313.4318,336.3154,402.6032,18,April,2017,Tuesday,FALSE,-1.3972,1.2928,7.20949999999999,315.233528571429,335.417057142857,396.406914285714,Low
2017-04-19 00:00:00,316.5113,339.1685,404.628,19,April,2017,Wednesday,FALSE,3.0795,2.85309999999998,2.02479999999997,315.330142857143,335.749114285714,397.640357142857,Low
2017-04-20 00:00:00,316.0055,338.5886,404.6134,20,April,2017,Thursday,FALSE,-0.505800000000022,-0.579900000000009,-0.0145999999999731,315.457357142857,336.332428571429,399.140228571429,Low
2017-04-21 00:00:00,313.8774,336.6876,402.1397,21,April,2017,Friday,FALSE,-2.12809999999996,-1.90100000000001,-2.47370000000001,315.200685714286,336.571485714286,400.110142857143,Low
2017-04-22 00:00:00,313.8774,336.6876,402.1397,22,April,2017,Saturday,TRUE,0,0,0,314.925814285714,336.791228571429,401.057271428571,Low
2017-04-23 00:00:00,313.9067,341.4938,402.1773,23,April,2017,Sunday,TRUE,0.0292999999999779,4.80620000000005,0.0375999999999976,314.634157142857,337.709157142857,401.956428571429,Low
2017-04-24 00:00:00,317.02,344.5319,405.3418,24,April,2017,Monday,FALSE,3.11329999999998,3.03809999999999,3.16449999999997,314.947157142857,339.067628571428,403.377585714286,Low
2017-04-25 00:00:00,313.481,342.6613,402.3529,25,April,2017,Tuesday,FALSE,-3.53899999999999,-1.87060000000002,-2.9889,314.954185714286,339.974185714286,403.341828571429,Low
2017-04-26 00:00:00,314.4064,342.9572,404.1065,26,April,2017,Wednesday,FALSE,0.925400000000025,0.295900000000017,1.75360000000001,314.653485714286,340.515428571429,403.267328571428,Low
2017-04-27 00:00:00,315.4592,343.0256,407.0685,27,April,2017,Thursday,FALSE,1.05279999999999,0.0683999999999969,2.96199999999999,314.575442857143,341.149285714286,403.618057142857,Low
2017-04-28 00:00:00,316.0125,344.2721,409.2362,28,April,2017,Friday,FALSE,0.553299999999979,1.24650000000003,2.16770000000002,314.880457142857,342.232785714286,404.631842857143,Low
2017-04-29 00:00:00,315.9405,344.1936,409.1429,29,April,2017,Saturday,TRUE,-0.0720000000000027,-0.0785000000000196,-0.0932999999999993,315.175185714286,343.305071428571,405.6323,Low
2017-04-30 00:00:00,316.6328,345.2331,409.3429,30,April,2017,Sunday,TRUE,0.692299999999989,1.03949999999997,0.199999999999989,315.564628571429,343.839257142857,406.655957142857,Low
2017-05-01 00:00:00,315.8203,344.5726,407.2503,1,May,2017,Monday,FALSE,-0.8125,-0.660499999999956,-2.0926,315.393242857143,343.845071428571,406.9286,Low
2017-05-02 00:00:00,318.9965,348.702,412.6539,2,May,2017,Tuesday,FALSE,3.17620000000005,4.12939999999998,5.40360000000004,316.181171428571,344.708028571429,408.400171428571,Low
2017-05-03 00:00:00,315.4462,343.4972,405.9793,3,May,2017,Wednesday,FALSE,-3.55030000000005,-5.20479999999998,-6.6746,316.329714285714,344.785171428572,408.667714285714,Low
2017-05-04 00:00:00,316.6489,347.7029,409.142,4,May,2017,Thursday,FALSE,1.20270000000005,4.20569999999998,3.16269999999997,316.499671428571,345.453357142857,408.963928571429,Low
2017-05-05 00:00:00,313.597,344.8637,407.1116,5,May,2017,Friday,FALSE,-3.05190000000005,-2.8392,-2.03039999999999,316.1546,345.537871428571,408.660414285714,Low
2017-05-06 00:00:00,313.597,344.8637,407.1116,6,May,2017,Saturday,TRUE,0,0,0,315.819814285714,345.6336,408.370228571429,Low
2017-05-07 00:00:00,314.6616,345.901,407.9902,7,May,2017,Sunday,TRUE,1.06460000000004,1.03730000000002,0.878600000000006,315.538214285714,345.729014285714,408.176985714286,Low
2017-05-08 00:00:00,315.0162,344.1957,407.631,8,May,2017,Monday,FALSE,0.354600000000005,-1.70530000000002,-0.359200000000044,315.423342857143,345.675171428571,408.231371428571,Low
2017-05-09 00:00:00,315.4809,343.3775,408.5162,9,May,2017,Tuesday,FALSE,0.464699999999994,-0.81819999999999,0.885200000000054,314.921114285714,344.914528571428,407.640271428572,Low
2017-05-10 00:00:00,317.51,345.0499,410.5404,10,May,2017,Wednesday,FALSE,2.02909999999997,1.67239999999998,2.02419999999995,315.215942857143,345.136342857143,408.291857142857,Low
2017-05-11 00:00:00,315.5334,342.7919,406.7226,11,May,2017,Thursday,FALSE,-1.97660000000002,-2.25799999999998,-3.81779999999998,315.056585714286,344.434771428571,407.946228571428,Low
2017-05-12 00:00:00,317.414,346.9941,409.2101,12,May,2017,Friday,FALSE,1.88060000000001,4.2022,2.48750000000001,315.601871428571,344.739114285714,408.246014285714,Low
2017-05-13 00:00:00,317.414,346.9941,409.2101,13,May,2017,Saturday,TRUE,0,0,0,316.147157142857,345.043457142857,408.5458,Low
2017-05-14 00:00:00,315.3082,344.4732,406.3061,14,May,2017,Sunday,TRUE,-2.10579999999999,-2.52089999999998,-2.904,316.239528571429,344.839485714286,408.305214285714,Low
2017-05-15 00:00:00,324.2302,356.0516,418.2894,15,May,2017,Monday,FALSE,8.92200000000003,11.5784,11.9833,317.555814285714,346.533185714286,409.827842857143,Low
2017-05-16 00:00:00,314.4445,348.8246,406.1365,16,May,2017,Tuesday,FALSE,-9.78570000000002,-7.22700000000003,-12.1529,317.407757142857,347.311342857143,409.487885714286,Low
2017-05-17 00:00:00,313.6599,350.137,406.7542,17,May,2017,Wednesday,FALSE,-0.784600000000012,1.31240000000003,0.617700000000013,316.857742857143,348.038071428572,408.947,Low
2017-05-18 00:00:00,319.5135,354.9114,413.5783,18,May,2017,Thursday,FALSE,5.85360000000003,4.77440000000001,6.82409999999999,317.426328571429,349.769428571429,409.926385714286,Low
2017-05-19 00:00:00,318.9757,357.4765,415.8167,19,May,2017,Friday,FALSE,-0.537800000000004,2.56509999999997,2.23840000000001,317.649428571428,351.266914285714,410.870185714286,Low
2017-05-20 00:00:00,313.5585,351.4055,408.7549,20,May,2017,Saturday,TRUE,-5.41720000000004,-6.07099999999997,-7.06180000000001,317.098642857143,351.897114285714,410.805157142857,Low
2017-05-21 00:00:00,316.3036,354.4462,411.7956,21,May,2017,Sunday,TRUE,2.74510000000004,3.04069999999996,3.04069999999996,317.240842857143,353.321828571429,411.589371428571,Low
2017-05-22 00:00:00,314.3075,353.28,408.5683,22,May,2017,Monday,FALSE,-1.99610000000001,-1.1662,-3.22729999999996,315.823314285714,352.925885714286,410.200642857143,Low
2017-05-23 00:00:00,316.4502,354.0266,410.246,23,May,2017,Tuesday,FALSE,2.14269999999999,0.746600000000001,1.67769999999996,316.109842857143,353.669028571429,410.787714285714,Low
2017-05-24 00:00:00,325.0025,364.6123,421.5283,24,May,2017,Wednesday,FALSE,8.5523,10.5857,11.2823,317.730214285714,355.736928571429,412.8983,Low
2017-05-25 00:00:00,315.0162,353.2496,407.4734,25,May,2017,Thursday,FALSE,-9.98629999999997,-11.3627,-14.0549,317.087742857143,355.499528571429,412.026171428571,Low
2017-05-26 00:00:00,316.078,353.3757,404.5798,26,May,2017,Friday,FALSE,1.06179999999995,0.126100000000008,-2.89360000000005,316.673785714286,354.9137,410.4209,Low
2017-05-27 00:00:00,316.1261,353.4295,404.6414,27,May,2017,Saturday,TRUE,0.0481000000000336,0.0538000000000238,0.0615999999999985,317.040585714286,355.202842857143,409.833257142857,Low
2017-05-28 00:00:00,319.2984,357.0137,409.2448,28,May,2017,Sunday,TRUE,3.17230000000001,3.58419999999995,4.60340000000002,317.468414285714,355.569628571429,409.468857142857,Low
