Date,USD_NGN,GBP_NGN,EUR_NGN,Day,Month,Year,Weekday,Is_Weekend,USD_Diff,EUR_Diff,GBP_Diff,USD_MA7,EUR_MA7,GBP_MA7,USD_Rate_Category,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,target
2016-02-09,198.7291,224.336,287.4417,9,February,2016,Tuesday,False,-0.131,1.82850000000002,0.407000000000039,198.845614285714,222.210428571429,288.536157142857,Low,198.8601,199.0386,199.0185,198.9872,198.88982857142858,0.23641440815231918,198.99392857142857,0.2692589357944248,198.9933933333333,0.21731483109949945,198.9067
2016-02-10,198.9067,224.4016,288.8722,10,February,2016,Wednesday,False,0.177600000000012,0.0655999999999892,1.43049999999999,198.912328571429,222.821185714286,288.454457142857,Low,198.7291,198.4397,199.0967,198.8985,198.84561428571428,0.2328687214497619,198.97325714285714,0.2781882282364338,198.98479,0.2226128870538918,198.9719
2016-02-11,198.9719,225.177,288.0914,11,February,2016,Thursday,False,0.0652000000000044,0.775399999999991,-0.780799999999999,198.899171428571,223.141628571429,288.151028571429,Low,198.9067,199.064,198.8347,198.9764,198.9123285714286,0.1489835193860964,198.95968571428574,0.2763311999893793,198.98506333333333,0.22250829272870618,198.9448
2016-02-12,198.9448,223.8939,288.5097,12,February,2016,Friday,False,-0.0271000000000186,-1.28309999999999,0.418299999999988,198.9305,223.4568,288.1993,Low,198.9719,198.7255,199.0305,198.6944,198.89917142857144,0.13693629558547626,198.9694857142857,0.2739805323149229,198.98491333333334,0.2225158510168056,199.1905
2016-02-13,199.1905,224.1705,288.8661,13,February,2016,Saturday,True,0.245699999999999,0.276600000000002,0.356400000000008,198.953328571429,223.762842857143,288.235257142857,Low,198.9448,199.0307,199.0289,199.0779,198.9305,0.11369486942856083,198.96336428571428,0.27346935591768146,198.99326000000002,0.21583893196417625,199.2961
2016-02-14,199.2961,223.6843,289.358,14,February,2016,Sunday,True,0.10560000000001,-0.486199999999997,0.491899999999987,198.9856,224.0244,288.310542857143,Low,199.1905,199.0702,199.6954,198.7819,198.95332857142856,0.14802651468117287,198.97490714285715,0.2797858699463442,198.9970133333333,0.21832623127805922,198.709
2016-02-15,198.709,222.0992,287.1743,15,February,2016,Monday,False,-0.587099999999992,-1.58510000000001,-2.18369999999999,198.964014285714,223.966071428571,288.330485714286,Low,199.2961,198.8601,198.9815,199.0396,198.9856,0.19494199992397793,198.94638571428573,0.21309225469418236,199.01415333333333,0.2210234544160761,199.0961
2016-02-16,199.0961,221.8677,284.7672,16,February,2016,Tuesday,False,0.387100000000004,-0.231499999999983,-2.40710000000001,199.016442857143,223.613457142857,287.948414285714,Low,198.709,198.7291,199.0386,198.859,198.96401428571426,0.21813986666724475,198.9269214285714,0.22190139243974524,199.00313333333332,0.2278473072081674,199.001
2016-02-17,199.001,221.2999,284.1933,17,February,2016,Wednesday,False,-0.0951000000000022,-0.567800000000005,-0.573899999999981,199.029914285714,223.170357142857,287.28,Low,199.0961,198.9067,198.4397,199.161,199.01644285714286,0.1951625976585335,198.93102857142858,0.22464263732684098,199.01103666666668,0.2267850242621874,198.9068
2016-02-18,198.9068,220.9562,285.0335,18,February,2016,Thursday,False,-0.0942000000000007,-0.343700000000013,0.840199999999982,199.020614285714,222.567385714286,286.843157142857,Low,199.001,198.9719,199.064,198.814,199.02991428571428,0.18949725968885364,198.97112142857142,0.174757899252948,199.00570333333334,0.22501113916168972,198.9644
